color1,color2,color3,class
#41382a,#a8adae,#777160,apple_pie
#541f0d,#ab6c3b,#e4ddd1,apple_pie
#2a1e12,#e6eacd,#c4a11f,apple_pie
#96784a,#4a260c,#cfd6d9,apple_pie
#cdc5c4,#433126,#896e45,apple_pie
#1e191a,#e0cdba,#80736d,apple_pie
#6c4527,#e5ddd0,#b58550,apple_pie
#e4e8c8,#4f2e2a,#d5b97e,apple_pie
#e0e1cf,#6f4721,#c3964b,apple_pie
#281e1b,#c0bbbb,#746e6f,apple_pie
#a79156,#816c3c,#c7b476,apple_pie
#cea147,#dfd7bc,#6e4b18,apple_pie
#caae51,#261b08,#81652b,apple_pie
#d2ccdb,#7b3224,#c58168,apple_pie
#944029,#ac8f82,#44515e,apple_pie
#2d212a,#c7ccd2,#7a6868,apple_pie
#cdc0aa,#1d1412,#7a685b,apple_pie
#d6c2a4,#1a1422,#8c7351,apple_pie
#88602d,#898f80,#442b15,apple_pie
#c7ac6d,#e8ddb3,#966c2d,apple_pie
#b67931,#5b3817,#dcbd82,apple_pie
#dcb99c,#c88150,#783d22,apple_pie
#e8e7e4,#524536,#c19b6d,apple_pie
#854e1f,#ce9644,#c9c1a5,apple_pie
#d0a379,#9d6c32,#774014,apple_pie
#d9cdc2,#6d351d,#b59c85,apple_pie
#cb650a,#e9ab1f,#8e2f06,apple_pie
#f8f6dd,#5f2a1a,#ddc349,apple_pie
#753a1a,#cdbca9,#ad7f55,apple_pie
#aaadb7,#8f7b62,#7c510f,apple_pie
#48290b,#f5eace,#946833,apple_pie
#c9783a,#582c19,#cdac99,apple_pie
#9baaa5,#334342,#866441,apple_pie
#b1985c,#d1d3d4,#583516,apple_pie
#e2a148,#120619,#883c29,apple_pie
#614e25,#e4e2c6,#a7a07c,apple_pie
#7b642b,#9fa596,#46290a,apple_pie
#a09444,#b5b5a3,#67230d,apple_pie
#db5610,#611304,#fabc3c,apple_pie
#573e3d,#d79232,#d7cdb1,apple_pie
#999d57,#ddddca,#53522f,apple_pie
#99692d,#b9a791,#423221,apple_pie
#704720,#a39d92,#837968,apple_pie
#4f261a,#cf9b49,#cec9bf,apple_pie
#aaa999,#4a393d,#78706b,apple_pie
#ece0c9,#392315,#bf9b75,apple_pie
#54382b,#e5e2e9,#c8aa8a,apple_pie
#695646,#ced6da,#999894,apple_pie
#ac9e88,#593c26,#8a694b,apple_pie
#34361c,#b6a5a1,#8e725c,apple_pie
#9eabae,#5f2c0a,#737158,apple_pie
#793417,#ddbec2,#af6d4b,apple_pie
#896334,#cfccc2,#1e1108,apple_pie
#b65c0f,#3f1904,#e9bc67,apple_pie
#8b5b1c,#f4edc6,#d9a33c,apple_pie
#ebebde,#51382b,#aa7948,apple_pie
#d0d0ce,#502e1b,#a09791,apple_pie
#b18b79,#422528,#845e4f,apple_pie
#e5be9a,#c66b2a,#6f270e,apple_pie
#898473,#684620,#a5b1b4,apple_pie
#7d581d,#93959b,#867857,apple_pie
#4a5338,#797369,#94d3ba,apple_pie
#cabdb7,#927b6c,#704c29,apple_pie
#efe3cd,#9d6b4e,#df935b,apple_pie
#f4d09f,#b7662d,#5b3b1e,apple_pie
#a26119,#462105,#e1c782,apple_pie
#ce7530,#f5da91,#542711,apple_pie
#bba880,#2a0d1b,#745b4a,apple_pie
#d2773f,#984a28,#eba367,apple_pie
#656463,#29252b,#949fa5,apple_pie
#24130a,#a79570,#6b3917,apple_pie
#935834,#e0d3c1,#4c200b,apple_pie
#8c7d7b,#bac0c6,#3b260e,apple_pie
#352426,#d9ccb5,#a67d49,apple_pie
#abada9,#905415,#8a7358,apple_pie
#c2e8df,#352b1b,#ccae45,apple_pie
#d7bec2,#40150e,#a46461,apple_pie
#937658,#d9d5c5,#2a1511,apple_pie
#d1e6c1,#503524,#cbaf4d,apple_pie
#070805,#7e6a36,#c9ba88,apple_pie
#b0561e,#cf8e6c,#7c370e,apple_pie
#d4b186,#4a1604,#b07639,apple_pie
#4f4736,#d6dec9,#9e9874,apple_pie
#cc924f,#f1e7da,#522016,apple_pie
#8e681f,#d2d4cd,#aa9f73,apple_pie
#772d37,#d8b889,#b57d5d,apple_pie
#957757,#5b371e,#cfc0ac,apple_pie
#594a39,#986f50,#341f10,apple_pie
#050403,#9298a0,#615544,apple_pie
#e4d3c7,#936f56,#5d331f,apple_pie
#d5bca6,#9f541d,#3c1f0e,apple_pie
#c8bbb1,#5e3935,#997562,apple_pie
#c0c1b9,#5a3f22,#917032,apple_pie
#dcd6cd,#865129,#bb9876,apple_pie
#2d1609,#6e4313,#967138,apple_pie
#856a53,#33241e,#d5c6a9,apple_pie
#d8d192,#a04734,#9da97f,apple_pie
#b79f33,#dcd9a6,#3c2915,apple_pie
#d9b291,#b98d67,#925228,apple_pie
#9a6538,#c7baa3,#522512,apple_pie
#82472a,#ccd1e3,#bc9a80,apple_pie
#645a3b,#9ba6a6,#84816e,apple_pie
#775e4f,#cbd4da,#39241b,apple_pie
#a7a19d,#846a58,#c1ced8,apple_pie
#756350,#200b08,#c5ae88,apple_pie
#673312,#cdc59b,#b69044,apple_pie
#e4bb43,#3f2710,#9a6413,apple_pie
#5c3711,#ab7016,#e8bf4b,apple_pie
#3c3730,#a1a49d,#7a715f,apple_pie
#16160d,#dcd6a5,#847e4b,apple_pie
#b09074,#6f3a22,#e1cfba,apple_pie
#a6a8a5,#745b42,#2d2015,apple_pie
#b1a1aa,#643f2d,#836c66,apple_pie
#c3baad,#867968,#48423f,apple_pie
#68523a,#1a0708,#a4968b,apple_pie
#7f421d,#cacec8,#b78f61,apple_pie
#a57233,#cfaa69,#2b150b,apple_pie
#d5bfba,#1b0f1a,#95614d,apple_pie
#87a7ba,#21402b,#6d8359,apple_pie
