color1,color2,color3,color4,color5,class
11908271,4738643,1910575,8356738,2254212,apple_pie
3632817,528959,15002862,1653626,8693445,apple_pie
989213,2739427,1800357,14084837,1584721,apple_pie
465982,14736339,6782092,2115441,4105425,apple_pie
11908285,14541801,2502721,6647934,2386320,apple_pie
1446937,8159630,13690867,5001565,11123155,apple_pie
14739693,1849699,9547715,5666185,1274336,apple_pie
13561836,2698060,6594502,15128252,10540771,apple_pie
6909021,7650273,14804700,1193830,3177903,apple_pie
1314065,7893621,10920874,2767951,13883098,apple_pie
6858685,4421517,3168621,8831696,5607334,apple_pie
1323077,4169678,15263196,2257056,7716319,apple_pie
1852507,5025997,11917019,3242907,199182,apple_pie
15520719,3754904,6388673,9677275,989534,apple_pie
4943017,1911949,4800053,8746596,10725823,apple_pie
6776955,1905690,14801360,10921387,4011337,apple_pie
526865,9478060,3422792,12836845,6122882,apple_pie
2362380,8563138,12112097,2441570,5929872,apple_pie
5332567,1723779,859961,4883102,9475206,apple_pie
1659008,10011344,3965351,12446194,6203336,apple_pie
2647714,8634076,1190460,3902408,1786739,apple_pie
7577819,1320026,12044764,5145032,3563170,apple_pie
8760264,2568508,15132904,4163529,5202031,apple_pie
11981012,2976677,1127273,4563676,8890293,apple_pie
2909597,6525123,1260916,12901611,3056989,apple_pie
2837385,11912144,8756147,13358561,925006,apple_pie
750804,403069,8637679,1354730,477107,apple_pie
1319511,15071737,1760501,9033445,4087950,apple_pie
9744072,2905488,1125476,5998001,13752021,apple_pie
12103339,937077,6716558,132382,1402516,apple_pie
1128800,14348793,5081267,334127,2841993,apple_pie
4953571,1980785,1052450,10464201,2907823,apple_pie
10922392,3034490,4670511,15134183,6193550,apple_pie
7054519,2844306,792878,12961477,15985641,apple_pie
2725869,2304885,7782112,1573901,4156850,apple_pie
6983833,13560042,1451569,9942972,2710642,apple_pie
9938591,3032653,341344,3305094,464680,apple_pie
12236723,1723484,3443610,7450034,329331,apple_pie
132922,1135582,468114,7264251,1811193,apple_pie
5589847,3714285,1187654,2120619,11783639,apple_pie
1853515,10602183,4363663,15462382,9264734,apple_pie
8624557,1923214,10532550,2501936,4160676,apple_pie
9875643,1388640,9343894,6978180,2972540,apple_pie
12700110,4036301,1118004,6138586,3369116,apple_pie
5131613,9018530,12239288,2826548,7435900,apple_pie
858673,10206683,15595764,3557215,6524082,apple_pie
1316661,10205143,15524837,7048352,4150384,apple_pie
14473680,2767188,10461083,6579299,4352917,apple_pie
4680080,9413809,1913164,7045266,3625329,apple_pie
7508160,4744062,10065560,12106187,1717295,apple_pie
599900,10394767,6974821,11907749,2386050,apple_pie
